住所,経度,緯度
埼玉県さいたま市大宮区大成町2丁目282番地,139.613581,35.914947
埼玉県さいたま市大宮区大成町2丁目176番地,139.615481,35.913933
埼玉県さいたま市大宮区大成町2丁目478番地1,139.614407,35.913324
埼玉県さいたま市大宮区大成町3丁目241番地,139.614653,35.917592
埼玉県さいたま市大宮区大成町3丁目254番地2,139.61755,35.918789
埼玉県さいたま市大宮区大成町2丁目310番地,139.614407,35.913324
埼玉県さいたま市大宮区大成町3丁目562番地,139.614653,35.917592
埼玉県さいたま市大宮区大成町3丁目562番地,139.614653,35.917592
埼玉県さいたま市大宮区大成町2丁目379番地,139.612781,35.913028
埼玉県さいたま市大宮区大成町1丁目205番地,139.614775,35.909425
埼玉県さいたま市大宮区大成町1丁目205番地,139.614775,35.909425
埼玉県さいたま市大宮区大成町1丁目5番地,139.614349,35.909242
埼玉県さいたま市大宮区大成町2丁目269番地,139.614407,35.913324
埼玉県さいたま市大宮区大成町1丁目465番地,139.612517,35.909417
埼玉県さいたま市大宮区大成町2丁目379番地,139.612781,35.913028
埼玉県さいたま市大宮区櫛引町1丁目406番地,139.609861,35.910772
埼玉県さいたま市大宮区櫛引町1丁目779番地2,139.605617,35.915297
埼玉県さいたま市大宮区櫛引町1丁目9番地,139.612261,35.906608
埼玉県さいたま市大宮区櫛引町1丁目440番地1,139.608884,35.911429
埼玉県さいたま市大宮区櫛引町1丁目654番地,139.607294,35.914033
埼玉県さいたま市大宮区櫛引町1丁目810番地,139.6073,35.915228
埼玉県さいたま市大宮区櫛引町1丁目826番地,139.609231,35.915881
埼玉県さいたま市大宮区櫛引町1丁目528番地,139.607594,35.912439
埼玉県さいたま市大宮区三橋1丁目664番地,139.603161,35.907944
埼玉県さいたま市大宮区三橋1丁目55番地,139.603161,35.909433
埼玉県さいたま市大宮区三橋1丁目55番地,139.603161,35.909433
埼玉県さいたま市大宮区三橋1丁目629番地4,139.601142,35.909447
埼玉県さいたま市大宮区三橋1丁目850番地1,139.599878,35.914069
埼玉県さいたま市大宮区三橋1丁目850番地1,139.599878,35.914069
埼玉県さいたま市大宮区三橋1丁目55番地,139.603161,35.909433
埼玉県さいたま市大宮区三橋1丁目745番地2,139.603161,35.909433
埼玉県さいたま市大宮区三橋2丁目20番地,139.604633,35.903717
埼玉県さいたま市大宮区三橋2丁目20番地,139.604633,35.903717
埼玉県さいたま市大宮区三橋2丁目20番地,139.604633,35.903717
埼玉県さいたま市大宮区三橋2丁目929番地,139.605617,35.902278
埼玉県さいたま市大宮区三橋2丁目250番地,139.60235,35.90082
埼玉県さいたま市大宮区三橋2丁目250番地,139.60235,35.90082
埼玉県さいたま市大宮区三橋2丁目428番地2,139.60235,35.90082
埼玉県さいたま市大宮区三橋1丁目1300番地,139.602575,35.904978
埼玉県さいたま市大宮区三橋4丁目96番地,139.599603,35.896086
埼玉県さいたま市大宮区三橋4丁目96番地,139.599603,35.896086
埼玉県さいたま市大宮区三橋4丁目3番地,139.598453,35.898836
埼玉県さいたま市大宮区三橋4丁目96番地,139.599603,35.896086
埼玉県さいたま市大宮区三橋4丁目258番地,139.601844,35.895272
埼玉県さいたま市大宮区三橋2丁目565番地2,139.599444,35.897817
埼玉県さいたま市大宮区三橋4丁目904番地,139.603378,35.890303
埼玉県さいたま市大宮区三橋2丁目580番地2,139.600406,35.897417
埼玉県さいたま市大宮区三橋3丁目52番地,139.608897,35.897836
埼玉県さいたま市大宮区上小町1043番地,139.611588,35.900508
埼玉県さいたま市大宮区三橋3丁目118番地,139.60975,35.896519
埼玉県さいたま市大宮区上小町1208番地1,139.611097,35.895961
埼玉県さいたま市大宮区三橋3丁目118番地,139.60975,35.896519
埼玉県さいたま市大宮区三橋3丁目85番地,139.606264,35.897572
埼玉県さいたま市大宮区三橋2丁目736番地,139.604042,35.898731
埼玉県さいたま市大宮区上小町845番地4,139.611622,35.899994
埼玉県さいたま市大宮区上小町1110番地,139.614258,35.899631
埼玉県さいたま市大宮区上小町422番地,139.611588,35.900508
埼玉県さいたま市大宮区上小町1096番地,139.611588,35.900508
埼玉県さいたま市大宮区上小町1036番地2,139.612369,35.898836
埼玉県さいたま市大宮区上小町615番地4,139.610214,35.901153
埼玉県さいたま市大宮区上小町535番地,139.613269,35.902778
埼玉県さいたま市大宮区上小町1337番地,139.616753,35.896592
埼玉県さいたま市大宮区上小町1337番地,139.616753,35.896592
埼玉県さいたま市大宮区上小町1337番地,139.616753,35.896592
埼玉県さいたま市大宮区上小町1043番地,139.611588,35.900508
埼玉県さいたま市大宮区桜木町4丁目609番地,139.617062,35.900957
埼玉県さいたま市中央区本町東6丁目11番1号先,139.617700,35.894581
埼玉県さいたま市大宮区桜木町4丁目534番地,139.619011,35.895717
埼玉県さいたま市大宮区桜木町4丁目219番地,139.616169,35.905214
埼玉県さいたま市大宮区桜木町4丁目219番地,139.616169,35.905214
埼玉県さいたま市大宮区桜木町4丁目219番地,139.616169,35.905214
埼玉県さいたま市大宮区桜木町4丁目174番地,139.617062,35.900957
埼玉県さいたま市大宮区桜木町4丁目328番地9,139.616972,35.903319
埼玉県さいたま市大宮区桜木町4丁目328番地9,139.616972,35.903319
埼玉県さいたま市大宮区桜木町4丁目926番地先,139.614969,35.903683
埼玉県さいたま市大宮区桜木町1丁目7番地7,139.619801,35.905508
埼玉県さいたま市大宮区桜木町1丁目7番地8,139.619801,35.905508
埼玉県さいたま市大宮区桜木町3丁目172番地13,139.618406,35.91545
埼玉県さいたま市大宮区桜木町１丁目213番地1,139.623028,35.902921
埼玉県さいたま市大宮区桜木町3丁目1番地１,139.618319,35.913298
埼玉県さいたま市大宮区桜木町2丁目462番地,139.617819,35.907947
埼玉県さいたま市大宮区桜木町3丁目1番地１,139.618319,35.913298
埼玉県さいたま市大宮区大門町２丁目119番地,139.627408,35.907355
埼玉県さいたま市大宮区大門町1丁目13番地先,139.625922,35.907275
埼玉県さいたま市大宮区下町3丁目47番地先,139.630289,35.903353
埼玉県さいたま市大宮区大門町２丁目７９番地先,139.627408,35.907355
埼玉県さいたま市大宮区大門町3丁目45番地,139.629404,35.908095
埼玉県さいたま市大宮区東町1丁目16番地2,139.632442,35.907208
埼玉県さいたま市大宮区下町3丁目8番地先,139.630606,35.904814
埼玉県さいたま市大宮区吉敷町1丁目120番地1,139.628847,35.90154
埼玉県さいたま市大宮区宮町3丁目84番地,139.627461,35.91195
埼玉県さいたま市大宮区高鼻町1丁目339番地,139.630394,35.913447
埼玉県さいたま市大宮区高鼻町1丁目194番地,139.630006,35.911658
埼玉県さいたま市大宮区宮町2丁目90番地,139.628728,35.909933
埼玉県さいたま市大宮区宮町3丁目84番地,139.627461,35.91195
埼玉県さいたま市大宮区宮町3丁目113番地3,139.628878,35.911261
埼玉県さいたま市大宮区高鼻町1丁目440番地先,139.62825,35.916356
埼玉県さいたま市大宮区土手町3丁目24番地,139.625908,35.915525
埼玉県さいたま市大宮区土手町1丁目154番地,139.622086,35.914728
埼玉県さいたま市大宮区土手町1丁目153番地,139.622075,35.915033
埼玉県さいたま市大宮区土手町1丁目153番地,139.622075,35.915033
埼玉県さいたま市大宮区土手町3丁目184番地,139.626189,35.917186
埼玉県さいたま市大宮区土手町2丁目97番地,139.626997,35.914817
埼玉県さいたま市大宮区土手町3丁目285番地,139.624731,35.917164
埼玉県さいたま市大宮区寿能町1丁目21番地,139.633131,35.921594
埼玉県さいたま市大宮区寿能町1丁目31番地1,139.631294,35.922817
埼玉県さいたま市大宮区寿能町2丁目195番地1,139.635789,35.921436
埼玉県さいたま市大宮区寿能町2丁目195番地1,139.635789,35.921436
埼玉県さいたま市大宮区寿能町2丁目140番地,139.636678,35.921097
埼玉県さいたま市大宮区寿能町2丁目155番地,139.638894,35.921186
埼玉県さいたま市大宮区高鼻町4丁目130番地,139.6314,35.920858
埼玉県さいたま市大宮区堀の内町3丁目145番地,139.635747,35.913939
埼玉県さいたま市大宮区堀の内町2丁目276番地2,139.637681,35.913206
埼玉県さいたま市大宮区堀の内町3丁目145番地,139.635747,35.913939
埼玉県さいたま市大宮区堀の内町3丁目367番地,139.637115,35.915304
埼玉県さいたま市大宮区高鼻町1丁目170番地先,139.630514,35.911053
埼玉県さいたま市大宮区堀の内町3丁目145番地,139.635747,35.913939
埼玉県さいたま市大宮区高鼻町2丁目405番地,139.632803,35.913655
埼玉県さいたま市大宮区堀の内町1丁目123番地2,139.639625,35.910802
埼玉県さいたま市大宮区天沼町1丁目148番地1,139.639917,35.906094
埼玉県さいたま市大宮区天沼町1丁目194番地,139.636936,35.906219
埼玉県さいたま市大宮区堀の内町1丁目50番地先,139.639625,35.910802
埼玉県さいたま市大宮区堀の内町1丁目99番地,139.635353,35.908183
埼玉県さいたま市大宮区堀の内町1丁目410番地2,139.637592,35.9105
埼玉県さいたま市大宮区堀の内町1丁目99番地,139.635353,35.908183
埼玉県さいたま市大宮区堀の内町1丁目182番地2,139.639625,35.910802
埼玉県さいたま市大宮区堀の内町1丁目615番地,139.645189,35.912078
埼玉県さいたま市大宮区天沼町1丁目760番地,139.645153,35.909033
埼玉県さいたま市大宮区堀の内町2丁目612番地,139.638564,35.912227
埼玉県さいたま市大宮区天沼町1丁目760番地,139.645153,35.909033
埼玉県さいたま市大宮区堀の内町1丁目615番地,139.645189,35.912078
埼玉県さいたま市大宮区堀の内町1丁目606番地先,139.642267,35.911414
埼玉県さいたま市大宮区堀の内町1丁目577番地1,139.641169,35.912256
埼玉県さいたま市大宮区天沼町2丁目1077番地,139.644453,35.905122
埼玉県さいたま市大宮区天沼町1丁目347番地,139.643619,35.904894
埼玉県さいたま市大宮区天沼町1丁目523番地2,139.643094,35.908358
埼玉県さいたま市大宮区天沼町1丁目337番地,139.641002,35.907559
埼玉県さいたま市大宮区天沼町2丁目930番地,139.642206,35.902594
埼玉県さいたま市大宮区天沼町2丁目999番地3,139.643892,35.904017
埼玉県さいたま市大宮区天沼町2丁目1062番地14先,139.645083,35.9025
埼玉県さいたま市大宮区天沼町2丁目362番地,139.637017,35.899092
埼玉県さいたま市大宮区天沼町2丁目179番地,139.64037,35.901527
埼玉県さいたま市大宮区天沼町2丁目323番地,139.636978,35.900442
埼玉県さいたま市大宮区天沼町2丁目362番地,139.637017,35.899092
埼玉県さいたま市大宮区天沼町2丁目438番地1,139.639814,35.899061
埼玉県さいたま市大宮区天沼町2丁目725番地2,139.639944,35.9017
埼玉県さいたま市大宮区大原7丁目1番1号,139.642917,35.900758
埼玉県さいたま市大宮区吉敷町3丁目87番地,139.633617,35.900853
埼玉県さいたま市大宮区吉敷町3丁目87番地,139.633617,35.900853
埼玉県さいたま市大宮区吉敷町3丁目87番地,139.633617,35.900853
埼玉県さいたま市大宮区吉敷町1丁目124番地1,139.630847,35.902
埼玉県さいたま市大宮区吉敷町4丁目197番地3,139.632689,35.896983
埼玉県さいたま市大宮区吉敷町1丁目46番地先,139.628847,35.90154
埼玉県さいたま市大宮区吉敷町4丁目223番地2,139.635717,35.898344
埼玉県さいたま市大宮区吉敷町４丁目87番地1,139.633401,35.897691
埼玉県さいたま市大宮区北袋町1丁目190番地,139.641356,35.895244
埼玉県さいたま市大宮区北袋町1丁目190番地,139.641356,35.895244
埼玉県さいたま市大宮区北袋町1丁目190番地,139.641356,35.895244
埼玉県さいたま市大宮区北袋町2丁目81番地,139.643664,35.895922
埼玉県さいたま市大宮区北袋町2丁目237番地,139.645139,35.894156
埼玉県さいたま市大宮区北袋町2丁目158番地,139.644169,35.893969
埼玉県さいたま市大宮区北袋町2丁目401番地2,139.645258,35.891011
埼玉県さいたま市大宮区北袋町1丁目700番地,139.639831,35.892968